Date,Initials,Clinic,User,Reason,Note,Resolution,Ticket,Escalated,Technician,0-3,4-10,11-20,21-30,31+,Remote session,3+ topics,BP Reinstall,JIRA
2/2,mm,NH_vhc,Mike,Installation assistance,nothing happens when trying to open BP after update,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,
2/2,mm,CT_cou,Alison,User error correction,added a left ha to an order when the patient only ordered the right. Helped her to fix the order.,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/2,mm,ON_aco,Carolyn,System error message,receiving error when starting bp. Reinstalled 64bit version,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,
2/2,SF,ON_heo,Tom,Reports,Wanting info on user access reports (concern over downloading a patient list). Gave him the scoop from here and he will reach back out if he wants to go forward.,Waiting on Customer,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/2,mm,ON_ahc,Andrea,Schedule questions/issues,"wasn't able to launch bp after update but it worked while we were on the phone. Then she mentioned that editing appointments and saving  the changes doesn't automatically refresh and all other appointments disappear. so weird. I got a recording of that happening, but I can't replicate it. ",Unresolved,265906,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/2,SF,PA_cas,Quinn,Update users,"Wanted help adding their signature, but didn't have access to user admin. Shared the user guide with her and told her to reach out to owner/admin.",Contacting 3rd Party,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/2,mm,FL_hps,Andrea,QBD sync issues,calling for Taha,Transferred,265719,FALSE,Taha,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/2,SF,NY_baa,Max,Installation assistance,Didn't have admin access to install a program. Was on hold while they waited for a password. Told them to call back when they had one and hung up.,Representative disconnected,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/2,mm,LA_Kjh,Eric,Upgrade issues,"was getting a 'couldn't update' message, but then he restarted bp and it updated successfully. He also had a question about running reports for referral sources and also on how to send journal entries and reports to said referral source (healthcare provider). ",Resolved,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/2,SF,FL_doc,Kelly,Hardware inquiry,"Wondering about the resolution on her monitor to edit appointments. Her only options were below the minimum requirements.

Had another question about deactivating an employee and whether notes would still appear. Told her that they wouldn't show up in the user list, and their calendar can be deactivated, but notes should stay.",Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/2,SF,NY_baa,Max,Installation assistance,Calling back with admin credentials for the computer to get it installed. Hung up before it had been fully installed. So I watched and hoped that the person on the other end was with it enough on a Monday morning to be able to install Visual C++ and finish the process.,Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/2,LB,ON_nhs,Peggy,ISP connection issue,Unable to connect to BP. Advised them to restart their router.,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/2,LB,NY_wil,Barbara,Reports,Assistance running the patient ar statement report.,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/2,mm,TX_cchc,,System error message,unable to communicate with launch link. Internet is no bueno. She's checking with other clinic and will call back if still having problems.,Contacting 3rd Party,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/2,SF,MA_hyw,Annette,System error message,Update bar constantly popping up. Asked her to try restarting her computer and call back if it continued.,Waiting on Customer,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/2,LB,NH_gra,David,Accounting/sales department,"Merging with NH_vhc, but didn't get the change in ownership form that was sent last week. Left a CB for Jenna to coordinate getting that form to them.",Resolved,265798,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/2,mm,NY_pjh,John,User error correction,"created patient, but couldn't find him when creating appointment. He mixed up the first and last name. ",Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/2,LB,SD_bah,Melissa,Manual marketing,Generating a series of campaigns based on patient zip code.,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/2,SF,MA_aaw,Paula,Bug,"Needed to delete a 3rd party payment, but couldn't find it in the 3rd party ledger. It wasn't showing up with <All>, but we were able to find it filtering by <Payment>. Seemed related to the 'Show more"" JIRA.",Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BPOMS-12230
2/2,mm,ON_uhc,Ariel,Reports,needed help on how to filter data in Excel. I warned her that's not what we do but I showed her what I know about Excel and filtering data.,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
