Date,Initials,Clinic,User,Reason,Note,Resolution,Ticket,Escalated,Technician,0-3,4-10,11-20,21-30,31+,Remote session,3+ topics,BP Reinstall,JIRA
1/2,SF,NY_pjh,John,Hardware inquiry,"Wanted to know if BPOMS was compatible with video otoscopy. I thought no, but this website is saying their otoscope is compatible. Creating ticket and investigating.",Unresolved,264009,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/2,SF,AB_aur,Ro,New clinic support,"Called for week 1, left a message.",Waiting on Customer,264013,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/2,AS,NY_pjh,John,Hardware inquiry,"Calling back about line 2, just had a bunch of little questions about how to get an image to display in audiology.  Sounds like he doesn't know how to save an image from the otoscope yet",Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/2,JI,AB_amp,Masuma,Manual marketing,Help creating a TNS campaign,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/2,JP,AZ_whg,Diana,3rd party billing,help locating and deleting an insurer payment,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/2,SF,GA_hsg,Julie,Cloud Noah issue,"50138 error. Server connection test was successful, synced date and time, and restarted the computer.

Forgot to check the version number: they were on version 4.15, but their server was 4.16.",Transferred,,TRUE,Chris,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/2,AS,AB_amp,Masuma,Reports,"Wondering if there was a way to see how many hearing tests they gave in a month, showed her how to filter appiontment analysis report",Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/2,JI,LA_phb,Mary,Marketing template issues/questions,Had some questions on merge field,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/2,LB,OH_aal,Ashlee,Minor template edits,Assistance uploading a form. Original template was a word document but they changed it to PDF.,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/2,LB,IA_osh,Deb,QBD integration/accounting question,Requested an integration on their new company file.,Resolved,264052,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/2,JP,BC_ech,Laura,Merge patient files,"How to merge patients, shared UG page and walked her through it",Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/2,SF,NY_lsa,Kevin,Local Noah issue,"Called him to get connected to Noah Server. BPLink hadn't started. Starting BPLink fixed the issue.

Had some questions about CPT codes. Told him he'd need to update them in Setup, and showed him the updated superbill.",Resolved,264026,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/2,BM,TX_tod,Lydia,Installation assistance,"Lydia asked for asistance installing Blueprint, Thye have had troubles in the past. ",Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/2,AS,LA_phb,Mary,Minor template edits,"Wondering how to get default signatures enabled, she had acrobat pro so I showed her how to convert the .doc to pdf and make her life easier",Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/2,JP,TX_bro,Casey,Setup configuration,"Needed some chargers moved from their hearing aids catalog to orderable items. I was able to do this for them in the db. set is_hearing_aid = false for any signia items in orderable items that had ""charger"" or ""Charger"" in the model name",Resolved,,TRUE,Jesse,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/2,SF,ON_tru,Kaylee,Didn't enter,Didn't enter,Didn't enter,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/2,JI,FL_cry,Crystal,Inventory,Has been using chargers categorized as HAs which is messing up reporting.  Wanted to know the best category for chargers moving forward. Suggested orderable items. ,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/2,LB,NE_thc,Lori,Manual marketing,Creating a template and patient list for an insurance campaign.,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/2,AS,NY_ear,Susan,3rd party billing,"PT didn't realise they had a hearing benefit, needed to unapply payment and then create a claim to take 3p payment, she fought me on it a bunch because she was worried that it would mess their accounting up for the year?",Resolved,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/2,JI,AB_thp,Lori,Schedule questions/issues,Unable to book some appts online.  Booking timeslot interval may be set too low.  They didnt have user privilege to edit so they will talk to an owner and see about adjusting it. ,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/5,mm,UK_,Rachel,Interactive SMS,was trying to register clinic number but didn't have the option to. I let her know UK clinic's need to provision new numbers. ,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/5,LB,FL_hps,Nimet,Update users,Nimet was attempting to login with the wrong username.,Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/5,AS,UK_sac,Judy,General help,"Calling because they had a meeting with Henrik at 9, he called 20 second into our phone call.",Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/5,JI,NH_bhc,kim,Schedule questions/issues,Had some questions about how to view the calendar best,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/5,LB,ND_hhp,Erica,Interactive SMS,Clinic is unable to receive images from patients. Confirmed that this is true in testing (Next Release) as well. Was unable to find a JIRA for this and will create a ticket when I learn more from Tashia and L4.,Waiting on Customer,264196,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/5,mm,FL_coast,Melanie,Patient/private billing,"has a cc payment that she needs to get rid of because it was made as an over payment, but the customer ended up paying with a check instead. Wants to know what to do with the cc payment, but is afraid of deleting it because she doens't know if it was voided or returned through the payarc terminal and not BP. She is going to confirm with Ken Handy to see what really happened - if it was returned or voided. Then get back to me.",Contacting 3rd Party,264112,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/5,AS,CT_ahhc,Natalie,3rd party billing,"Audio help continues their battle with 3p AR, just had a couple reports questions about where to find unapplied credits etc",Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/5,JI,ME_adf,Ted,Patient/private billing,Needed help unlinking HAs from managed care so we could adjust the pricing and apply a payment,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/5,LB,TX_tod,Rachel,Launch link,Installing BP on a new computer.,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/5,mm,MA-aaw,Paula,3rd party billing,needed help finding a 3rd party payment that she needed to delete,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/5,AS,AB_prm,Reet,ISP connection issue,"Very inconsistent internet and the screenconnect was dropping every few seconds, getting errors when trying to open BP, advise to ask IT ",Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/5,JI,BC_shu,Dimos,Cloud Noah issue,Getting error when connecting to Noah cloud,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/5,LB,Spam,Ashley,Accounting/sales department,VA_vei (cancelled in 2022) received an email from us telling them that their cc on file has expired. Transferred to accounting to make sure that they weren't still being charged and to clear this up.,Transferred,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/5,AS,CT_cou,Allison,System performance issues,"Had an interesting visual bug on the schedule, declined to have a ticket made as this has never happened before and was not effecting functionality.  Booked a patient for Sunday the 4th, then changed the date to the 5th at 8 am.  She then changed the time and the tentative question mark icon remained at the top of the schedule on the 5th.  Only for the provider the patient was scheduled with and the icon was effected by status filters and the 'show/hide' status icons button",Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/5,mm,Didn't enter,Didn't enter,Schedule questions/issues,I forgot to ask where she was calling from. She wanted to know how to create new events and also how to edit/create custom forms,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/5,LB,TX_tod,Lydia,Document scanning,BP installed with the 64x launch link on the regular launcher file. Reinstalled.,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/5,JI,NC_gdh,Georganne,Marketing template issues/questions,Wanted to know where to find patient forms vs order forms,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/5,AS,MA_alb,Lisa,Mobile integration,"iCal stopped working, needed instructions and a little guidance to get it back up and running",Resolved,264129,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/5,JI,CT_ahhc,Marta,Cloud Noah question,Had some questions on scheduling a noah upgrade.  Advised them to reply to the ticket they have open with Gabe. ,Resolved,259448,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1/5,JI,ON_com,Shelly,3rd party billing,Needed help with write offs,Resolved,264118,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
1/5,LB,NC_ech,Ashley,Minor template edits,Need a code edited on one of their custom superbills. Advised them to submit a support ticket.,Waiting on Customer,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
